Type;Time;Party;Equipment Number;Charge Type;Friendly Fire;Properties;Stream Name;Vulnerability State;Marker Note;Operator;Originator Equipment Number
Hit;2023-05-23T06:38:09.567;BLUE;1371;ARX-160 (DF);Yes;Unknow;;Catastrophic kill;;unknown;1283
Hit;2023-05-23T06:38:01.579;BLUE;1371;ARX-160 (DF);Yes;Unknow;;Heavy damage;;unknown;1283
Hit;2023-05-23T06:34:45.906;BLUE;1074; (DF);No;Unknow;;Hit with no effect;;unknown;
Hit;2023-05-23T06:31:54.491;BLUE;1540;ARX-160 (DF);Yes;Unknow;;Heavy damage;;unknown;1518
Hit;2023-05-23T06:25:43.579;BLUE;1078;ARX-160 (DF);Yes;Unknow;;Heavy damage;;unknown;1372
Hit;2023-05-23T06:25:43.083;BLUE;1277;ARX-160 (DF);Yes;Unknow;;Heavy damage;;unknown;1372
Hit;2023-05-23T06:22:47.571;BLUE;1374;ARX-160 (DF);Yes;Unknow;;Catastrophic kill;;unknown;1364
Hit;2023-05-23T06:18:39.924;BLUE;1547;ARX-160 (DF);Yes;Unknow;;Heavy damage;;unknown;1369
Hit;2023-05-23T06:18:15.656;BLUE;1590;ARX-160 (DF);Yes;Unknow;;Medium damage;;unknown;1540
Hit;2023-05-23T06:13:28.880;BLUE;1526;ARX-160 (DF);Yes;Unknow;;Catastrophic kill;;unknown;1276
Hit;2023-05-23T06:11:53.184;BLUE;1618;ARX-160 (DF);Yes;Unknow;;Catastrophic kill;;unknown;1553
Hit;2023-05-23T06:10:51.122;BLUE;1618;ARX-160 (DF);Yes;Unknow;;Heavy damage;;unknown;1553
Hit;2023-05-23T06:10:50.993;BLUE;1584;ARX-160 (DF);Yes;Unknow;;Heavy damage;;unknown;1553
Hit;2023-05-23T06:08:56.781;BLUE;1562; (DF);No;Unknow;;Hit with no effect;;unknown;
Hit;2023-05-23T06:04:21.736;BLUE;1364;ARX-160 (DF);Yes;Unknow;;Medium damage;;unknown;1061
Hit;2023-05-23T06:03:21.586;BLUE;1535;ARX-160 (DF);Yes;Unknow;;Heavy damage;;unknown;1123
Hit;2023-05-23T06:02:39.012;BLUE;1536;ARX-160 (DF);Yes;Unknow;;Catastrophic kill;;unknown;1282
Hit;2023-05-23T06:02:17.168;BLUE;1367;ARX-160 (DF);Yes;Unknow;;Catastrophic kill;;unknown;1282
Hit;2023-05-23T06:02:17.167;BLUE;1536;ARX-160 (DF);Yes;Unknow;;Heavy damage;;unknown;1282
Hit;2023-05-23T06:02:16.970;BLUE;1285;ARX-160 (DF);Yes;Unknow;;Catastrophic kill;;unknown;1282
Hit;2023-05-23T06:02:05.186;BLUE;1536;ARX-160 (DF);Yes;Unknow;;Medium damage;;unknown;1282
Hit;2023-05-23T06:02:05.186;BLUE;1285;ARX-160 (DF);Yes;Unknow;;Heavy damage;;unknown;1282
Hit;2023-05-23T06:02:04.985;BLUE;1367;ARX-160 (DF);Yes;Unknow;;Heavy damage;;unknown;1282
Hit;2023-05-23T06:01:51.709;BLUE;1381;ARX-160 (DF);Yes;Unknow;;Catastrophic kill;;unknown;1052
Hit;2023-05-23T06:01:47.800;BLUE;1381;ARX-160 (DF);Yes;Unknow;;Heavy damage;;unknown;1052
Hit;2023-05-23T05:59:04.294;BLUE;1348;ARX-160 (DF);Yes;Unknow;;Catastrophic kill;;unknown;1519
Hit;2023-05-23T05:47:25.192;BLUE;1383;ARX-160 (DF);Yes;Unknow;;Catastrophic kill;;unknown;1578
Hit;2023-05-23T05:44:51.567;BLUE;1074;ARX-160 (DF);Yes;Unknow;;Catastrophic kill;;unknown;1547
Hit;2023-05-23T05:44:41.399;BLUE;1383;ARX-160 (DF);Yes;Unknow;;Heavy damage;;unknown;1578
Hit;2023-05-23T05:39:20.580;BLUE;1383;ARX-160 (DF);Yes;Unknow;;Heavy damage;;unknown;1578
Hit;2023-05-23T05:39:04.924;BLUE;1618;ARX-160 (DF);Yes;Unknow;;Catastrophic kill;;unknown;1348
Hit;2023-05-23T05:38:31.577;BLUE;1550;ARX-160 (DF);Yes;Unknow;;Medium damage;;unknown;1607
Hit;2023-05-23T05:30:51.644;BLUE;1426;ARX-160 (DF);Yes;Unknow;;Heavy damage;;unknown;1518
Hit;2023-05-23T05:30:51.444;BLUE;1607;ARX-160 (DF);Yes;Unknow;;Medium damage;;unknown;1518
Hit;2023-05-23T05:20:22.913;BLUE;1287;ARX-160 (DF);Yes;Unknow;;Catastrophic kill;;unknown;1560
Hit;2023-05-23T05:20:22.713;BLUE;1595;ARX-160 (DF);Yes;Unknow;;Heavy damage;;unknown;1560
Hit;2023-05-23T05:19:07.274;BLUE;1378;ARX-160 (DF);Yes;Unknow;;Heavy damage;;unknown;1061
Hit;2023-05-23T05:15:49.869;BLUE;1347;ARX-160 (DF);Yes;Unknow;;Catastrophic kill;;unknown;1061
Hit;2023-05-23T05:15:49.678;BLUE;1378;ARX-160 (DF);Yes;Unknow;;Heavy damage;;unknown;1061
Hit;2023-05-23T05:13:26.241;BLUE;1551; (DF);No;Unknow;;Hit with no effect;;unknown;
Hit;2023-05-23T05:12:15.860;BLUE;1551; (DF);No;Unknow;;Hit with no effect;;unknown;
Hit;2023-05-23T05:11:55.453;BLUE;1347;ARX-160 (DF);Yes;Unknow;;Catastrophic kill;;unknown;1061
Hit;2023-05-23T05:11:55.247;BLUE;1378;ARX-160 (DF);Yes;Unknow;;Heavy damage;;unknown;1061
Hit;2023-05-23T05:10:52.848;BLUE;1541;ARX-160 (DF);Yes;Unknow;;Heavy damage;;unknown;1061
Hit;2023-05-23T05:10:52.645;BLUE;1347;ARX-160 (DF);Yes;Unknow;;Heavy damage;;unknown;1061
Hit;2023-05-23T05:08:21.556;BLUE;1347;ARX-160 (DF);Yes;Unknow;;Catastrophic kill;;unknown;1352
Hit;2023-05-23T05:02:20.648;BLUE;1352;ARX-160 (DF);Yes;Unknow;;Heavy damage;;unknown;1061
Hit;2023-05-23T05:00:42.496;BLUE;1502;ARX-160 (DF);Yes;Unknow;;Catastrophic kill;;unknown;1609
Hit;2023-05-23T04:59:54.997;BLUE;1618;ARX-160 (DF);Yes;Unknow;;Catastrophic kill;;unknown;1419
Hit;2023-05-23T04:59:30.336;BLUE;1374;ARX-160 (DF);Yes;Unknow;;Near miss;;unknown;1609
Hit;2023-05-23T04:58:26.649;BLUE;1352;ARX-160 (DF);Yes;Unknow;;Catastrophic kill;;unknown;1061
Hit;2023-05-23T04:55:13.763;BLUE;1551; (DF);No;Unknow;;Hit with no effect;;unknown;
Hit;2023-05-23T04:54:42.228;BLUE;1347;ARX-160 (DF);Yes;Unknow;;Catastrophic kill;;unknown;1550
Hit;2023-05-23T04:54:32.723;BLUE;1577;ARX-160 (DF);Yes;Unknow;;Heavy damage;;unknown;1551
Hit;2023-05-23T04:53:42.689;BLUE;1445;ARX-160 (DF);Yes;Unknow;;Medium damage;;unknown;1061
Hit;2023-05-23T04:47:31.308;BLUE;1551;ARX-160 (DF);Yes;Unknow;;Heavy damage;;unknown;1060
Hit;2023-05-23T04:46:48.227;BLUE;1365;ARX-160 (DF);Yes;Unknow;;Heavy damage;;unknown;1609
Hit;2023-05-23T04:46:46.243;BLUE;1365;ARX-160 (DF);Yes;Unknow;;Medium damage;;unknown;1609
Hit;2023-05-23T04:45:30.623;BLUE;1543;ARX-160 (DF);Yes;Unknow;;Catastrophic kill;;unknown;1352
Hit;2023-05-23T04:45:25.564;BLUE;1543;ARX-160 (DF);Yes;Unknow;;Heavy damage;;unknown;1352
Hit;2023-05-23T04:45:16.384;BLUE;1359;ARX-160 (DF);Yes;Unknow;;Heavy damage;;unknown;1061
Hit;2023-05-23T04:45:13.097;BLUE;1543;ARX-160 (DF);Yes;Unknow;;Near miss;;unknown;1562
Hit;2023-05-23T04:35:36.203;BLUE;1347;ARX-160 (DF);Yes;Unknow;;Catastrophic kill;;unknown;1550
Hit;2023-05-23T04:27:55.248;BLUE;1551;ARX-160 (DF);Yes;Unknow;;Medium damage;;unknown;1060
Hit;2023-05-23T04:21:56.080;BLUE;1502;ARX-160 (DF);Yes;Unknow;;Medium damage;;unknown;1550
Hit;2023-05-23T04:21:46.079;BLUE;1552;ARX-160 (DF);Yes;Unknow;;Medium damage;;unknown;1550
Hit;2023-05-23T04:21:02.076;BLUE;1590;ARX-160 (DF);Yes;Unknow;;Heavy damage;;unknown;1550
Hit;2023-05-23T04:21:00.093;BLUE;1590;ARX-160 (DF);Yes;Unknow;;Medium damage;;unknown;1550
Hit;2023-05-23T04:20:49.014;BLUE;1609;ARX-160 (DF);Yes;Unknow;;Catastrophic kill;;unknown;1550
Hit;2023-05-23T04:20:48.108;BLUE;1609;ARX-160 (DF);Yes;Unknow;;Medium damage;;unknown;1550
Hit;2023-05-23T04:20:46.111;BLUE;1604;ARX-160 (DF);Yes;Unknow;;Heavy damage;;unknown;1550
Hit;2023-05-23T04:20:20.115;BLUE;1354;ARX-160 (DF);Yes;Unknow;;Medium damage;;unknown;1550
Hit;2023-05-23T04:17:27.749;BLUE;1277;ARX-160 (DF);Yes;Unknow;;Heavy damage;;unknown;1061
Hit;2023-05-23T04:14:32.210;BLUE;1502;ARX-160 (DF);Yes;Unknow;;Catastrophic kill;;unknown;1550
Hit;2023-05-23T04:13:08.173;BLUE;1502;ARX-160 (DF);Yes;Unknow;;Catastrophic kill;;unknown;1550
Hit;2023-05-23T04:13:06.077;BLUE;1502;ARX-160 (DF);Yes;Unknow;;Medium damage;;unknown;1550
Hit;2023-05-23T04:09:14.130;BLUE;1618;ARX-160 (DF);Yes;Unknow;;Heavy damage;;unknown;1488
Hit;2023-05-23T04:03:12.238;BLUE;1354;ARX-160 (DF);Yes;Unknow;;Catastrophic kill;;unknown;1550
Hit;2023-05-23T04:02:31.977;BLUE;1380;ARX-160 (DF);Yes;Unknow;;Catastrophic kill;;unknown;1346
Hit;2023-05-23T04:02:31.070;BLUE;1380;ARX-160 (DF);Yes;Unknow;;Heavy damage;;unknown;1346
Hit;2023-05-23T03:53:02.421;BLUE;1061;ARX-160 (DF);Yes;Unknow;;Near miss;;unknown;1346
Hit;2023-05-23T03:52:50.379;BLUE;1372;ARX-160 (DF);Yes;Unknow;;Medium damage;;unknown;1366
Hit;2023-05-23T03:51:54.959;BLUE;1346;ARX-160 (DF);No;Unknow;;Catastrophic kill;;unknown;
Hit;2023-05-23T03:46:35.485;BLUE;1445; (DF);No;Unknow;;Hit with no effect;;unknown;
Hit;2023-05-23T03:43:17.861;BLUE;1547;ARX-160 (DF);Yes;Unknow;;Heavy damage;;unknown;1366
